TARGET,DerogCnt,CollectCnt,BanruptcyInd,InqCnt06,InqTimeLast,InqFinanceCnt24,TLTimeFirst,TLTimeLast,TLCnt03,TLCnt12,TLCnt24,TLCnt,TLSum $,TLMaxSum $,TLSatCnt,TLDel60Cnt,TLBadCnt24,TL75UtilCnt,TL50UtilCnt,TLBalHCPct,TLSatPct,TLDel3060Cnt24,TLDel90Cnt24,TLDel60CntAll,TLOpenPct,TLBadDerogCnt,TLDel60Cnt24,TLOpen24Pct
1,2,2,0,8,1,9,96,3,1,1,1,1,698,630,3,TRUE,2,1,1,111,40,0,2,2,20,3,2,100
1,2,2,0,2,0,4,248,7,0,3,7,14,30265,44493,28,FALSE,0,7,9,68,63,2,0,1,47,2,1,50
1,0,0,0,8,1,10,124,4,0,6,9,12,44329,47349,22,FALSE,0,8,9,94,71,1,0,2,50,0,0,75
1,4,4,0,13,1,27,42,2,1,2,3,3,5066,6354,3,TRUE,0,2,2,80,43,0,0,1,43,4,0,100
1,1,0,0,4,1,2,93,20,0,0,2,19,40795,67014,24,TRUE,2,7,7,61,52,3,4,6,66,4,5,11
1,0,0,0,3,0,2,446,9,0,2,9,26,65165,126906,33,FALSE,0,5,7,51,78,3,0,0,70,0,0,35
1,0,0,0,1,2,1,337,11,0,2,4,17,45492,44666,14,FALSE,0,9,12,102,31,3,0,1,59,0,0,24
1,1,1,0,1,1,0,134,3,1,3,7,16,35996,42432,18,FALSE,0,9,11,85,38,3,0,0,62,0,0,44
1,5,3,0,4,1,11,89,3,1,3,6,7,13106,14161,14,FALSE,0,4,5,93,38,2,1,2,44,6,2,86
1,0,0,0,4,2,3,118,11,0,1,1,2,1087,1091,4,TRUE,1,2,2,100,50,0,1,1,33,1,1,50
1,0,0,0,10,1,3,87,3,1,2,4,11,16223,19849,13,FALSE,0,4,7,82,60,2,0,1,73,0,1,36
1,4,1,1,2,0,5,201,22,0,0,1,1,0,0,2,TRUE,0,0,0,0,33,0,0,2,33,1,0,100
1,3,1,0,4,1,3,234,30,0,0,0,5,11288,21709,6,TRUE,2,3,4,52,18,2,4,5,45,5,5,0
1,5,5,0,0,8,0,118,4,0,6,7,8,17200,23793,11,TRUE,1,5,6,72,69,0,2,4,50,4,2,88
1,0,0,0,1,1,0,74,35,0,0,0,4,4963,12283,4,TRUE,2,2,2,40,14,2,4,7,57,4,5,0
1,3,2,0,0,11,0,90,9,0,1,3,3,4722,5462,8,TRUE,1,2,2,86,17,2,2,4,25,3,3,100
1,4,2,1,3,3,2,221,3,1,1,1,3,6918,10212,9,TRUE,2,1,2,68,33,0,2,5,20,3,2,33
1,1,1,0,2,1,4,206,21,0,0,1,1,0,0,7,TRUE,0,3.121682,4.077904,0,25,0,0,3,13,1,0,100
1,1,1,0,4,1,5,152,11,0,1,1,3,9584,10778,2,TRUE,0,2,2,89,25,2,1,2,75,1,2,33
1,0,0,0,1,6,4,102,25,0,0,0,14,34506,37617,17,TRUE,2,9,11,92,43,3,4,4,61,4,4,0
1,0,0,0,3,0,1,90,16,0,0,2,3,1457,1501,3,TRUE,0,1,3,97,43,0,0,2,43,0,0,67
1,0,0,0,5,1,3,216,8,0,2,2,19,72107,82531,30,FALSE,0,11,12,87,73,0,0,0,63,0,0,11
1,2,1,1,0,8,2,156,6,0,1,1,3,176,176,2,TRUE,1,2,2,100,0,3,1,3,43,2,1,33
1,0,0,0,1,3,6,165,27,0,0,0,8,22310,27277,2,TRUE,8,4,5,82,7,2,9,11,57,9,10,0
1,1,1,0,2,1,1,138,6,0,1,5,10,16770,17258,18,FALSE,0,7,8,97,39,3,0,2,56,1,1,50
1,8,5,1,4,2,7,139,7,0,2,3,5,1181,1138,0,TRUE,5,3,3,104,0,2,5,11,36,10,6,60
1,0,0,0,7,0,9,51,2,3,6,10,12,29292,46703,14,TRUE,1,6,9,63,65,1,1,1,71,1,1,83
1,2,2,0,0,17,0,414,46,0,0,0,1,3548,3000,10,TRUE,0,1,1,118,9,0,1,3,9,2,1,0
1,1,1,0,7,0,2,105,27,0,0,0,3,22537,35577,10,TRUE,1,1,2,63,46,0,1,4,23,2,1,0
1,1,1,0,2,2,3,126,1,2,3,9,6,27313,29786,10,FALSE,0,4,4,92,29,3,0,1,35,0,1,150
1,1,0,1,5,1,13,236,9,0,3,8,12,45337,62466,22,TRUE,2,4,5,73,36,0,2,16,31,2,2,67
1,0,0,0,0,3.108108,0,96,3,1,1,1,4,20068,27461,17,TRUE,0,2,2,73,32,0,1,1,21,1,1,25
1,1,1,0,1,1,2,54,2,1,2,2,4,9251,9668,1,TRUE,1,4,4,96,0,0,3,3,80,3,3,50
1,0,0,0,13,2,21,71,3,1,8,15,16,44095,50191,36,TRUE,0,12,14,88,53,3,1,4,37,1,4,94
1,0,0,0,3,4,2,118,6,0,5,8,5,5576,11473,10,FALSE,0,3,3,49,53,2,0,1,33,0,1,160
1,0,0,0,0,8,0,107,5,0,2,4,4,12546,24224,7,FALSE,0,2,2,52,18,3,0,2,36,0,2,100
1,3,3,0,4,1,3,142,11,0,1,1,5,28966,42212,7,TRUE,7,2,3,69,19,0,7,9,31,9,7,20
1,0,0,0,4,0,7,160,3,1,7,12,11,19163,22263,20,FALSE,0,6,6,86,46,3,0,4,39,0,1,109
1,1,0,0,1,5,0,90,17,0,0,1,2,5835,7488,2,FALSE,0,1,1,78,0,0,1,1,100,2,1,50
1,2,2,0,0,3.108108,0,117,37,0,0,0,2,729,1788,4,TRUE,0,0,0,41,50,0,1,2,33,3,1,0
1,0,0,0,1,3,0,161,16,0,0,7,11,11565,22899,21,TRUE,2,3,6,51,42,0,2,3,42,2,2,64
1,0,0,0,0,3.108108,0,7,7,0,1,1,1,20151.1,31205.9,0,TRUE,0,3.121682,4.077904,64.82224,0,2,0,1,100,0,1,100
1,2,2,0,2,2,2,102,10,0,1,3,4,8486,6876,3,TRUE,5,3,3,123,20,0,5,7,40,7,5,75
1,1,1,0,16,1,15,246,16,0,0,4,12,49275,61570,16,TRUE,0,5,7,80,67,0,2,2,67,2,2,33
1,8,8,0,7,3,27,35,4,0,6,14,4,15358,15641,12,TRUE,1,3,3,98,71,0,1,1,24,5,1,350
1,1,1,0,8,1,6,113,4,0,6,8,8,61954,70652,15,FALSE,0,8,8,88,39,3,1,5,44,2,2,100
1,0,0,0,0,12,1,181,12,0,1,7,11,9428,30070,13,FALSE,0,6,7,31,79,0,0,1,79,0,0,64
1,0,0,0,6,1,6,258,6,0,2,5,7,4937,12345,8,FALSE,0,4,4,40,55,3,0,0,64,0,0,71
1,0,0,0,9,1,30,112,15,0,0,5,8,10783,12757,16,TRUE,2,5,7,85,42,0,2,2,33,2,2,63
1,8,4,1,0,9,5,126,4,0,2,5,4,1322,1406,7,TRUE,1,3,3,94,42,0,1,5,33,5,1,125
1,2,2,0,3,1,5,220,14,0,0,4,4,14451,19365,6,TRUE,2,2,3,75,38,2,2,4,50,3,3,100
1,3,1,1,10,0,18,102,16,0,0,5,6,42153,59710,8,TRUE,0,1,4,71,29,3,1,3,43,2,2,83
1,0,0,0,5,0,13,119,2,1,8,13,14,18449,23295,18,TRUE,0,9,12,79,65,0,1,3,61,1,1,93
1,0,0,0,0,7,0,61,29,0,0,0,2,4254,3190,1,TRUE,2,2,2,133,20,0,2,3,40,2,2,0
1,5,4,1,3,1,4,410,8,0,3,6,3,3687,4174,9,TRUE,1,3,3,88,46,0,1,3,23,1,1,200
1,5,1,0,5,3,8,168,4,0,5,5,7,18265,31927,9,TRUE,4,3,3,57,28,3,5,10,39,7,7,71
1,1,0,1,7,1,13,159,4,0,2,2,5,15607,16688,6,TRUE,3,3,5,94,31,0,3,6,38,3,3,40
1,6,0,1,4,1,5,87,10,0,2,2,1,2500,2500,1,TRUE,1,1,1,100,11,0,1,7,11,2,1,200
1,0,0,0,3,1,5,145,15,0,0,1,4,9182,10248,12,FALSE,0,3,4,90,33,3,0,2,27,0,2,25
1,2,2,0,7,1,6,116,25,0,0,0,2,6447,15874,7,TRUE,1,0,1,41,9,2,1,3,18,2,2,0
1,0,0,0,1,2,3,123,8,0,2,6,10,24309,31071,15,FALSE,0,6,7,78,44,3,0,0,63,0,0,60
1,2,2,0,8,0,4,132,9,0,1,2,11,38158,78090,18,TRUE,3,6,6,49,38,3,4,7,42,5,5,18
1,0,0,0,5,2,2,213,3,1,4,6,20,65957,77972,30,FALSE,0,13,15,85,69,0,0,0,63,0,0,30
1,2,1,0,2,0,5,176,14,0,0,2,2,509,509,1,TRUE,1,1,1,100,0,2,2,4,40,2,3,100
1,0,0,0,7,1,14,107,2,1,3,9,15,36306,52120,29,TRUE,4,6,10,70,28,3,7,7,38,7,7,60
1,12,11,0,6,1,9,112,24,0,0,1,8,7467,10160,13,TRUE,7,5,6,73,12,0,9,14,32,19,9,13
1,3,2,0,1,0,5,101,6,0,3,7,11,16618,18277,27,TRUE,1,5,5,91,45,3,1,5,33,1,5,64
1,0,0,0,10,1,12,202,2,1,4,5,7,3713,8255,13,TRUE,1,3,3,45,19,3,2,5,44,2,3,71
1,6,5,0,11,0,26,174,2,1,4,8,7,12083,13360,23,TRUE,1,5,5,90,21,1,2,4,21,5,2,114
1,2,1,1,0,20,1,130,93,0,0,0,3,9246,9246,5,TRUE,1,2,2,100,8,0,2,9,23,3,2,0
1,1,0,1,4,0,2,216,8,0,2,9,12,32320,47288,21,TRUE,3,6,7,68,32,0,3,16,29,3,3,75
1,1,0,1,5,0,4,125,2,1,2,6,6,18299,25671,10,FALSE,0,4,5,71,45,3,0,0,55,0,0,100
1,5,1,1,1,1,3,325,9,0,1,2,10,9970,10991,14,TRUE,2,6,6,91,32,0,3,17,32,3,3,20
1,0,0,0,1,2,1,99,23,0,0,1,5,5659,11930,7,TRUE,1,1,1,47,30,0,2,2,50,2,2,20
1,1,1,0,2,0,3,275,13,0,0,2,8,5796,8541,15,TRUE,4,3,4,68,36,2,4,14,32,5,5,25
1,0,0,0,2,1,2,139,10,0,3,8,16,12204,14562,30,FALSE,0,9,11,84,61,3,0,3,48,0,2,50
1,0,0,1,0,7,5,29,6,0,5,9,11,40892,45188,14,TRUE,0,9,9,90,80,1,0,1,73,0,0,82
1,0,0,0,9,1,4,108,3,1,1,1,3,7938,9706,4,TRUE,2,1,1,82,14,0,2,2,43,2,2,33
1,7,6,0,2,0,9,121,8,0,5,9,5,36973,40206,9,TRUE,2,5,5,92,50,2,2,3,42,5,3,180
1,0,0,0,1,5,1,189,13,0,0,2,10,1306,10491,20,TRUE,0,2,2,12,57,2,0,1,48,0,1,20
1,8,3,0,3,2,1,240,4,0,2,2,6,7625,11553,5,TRUE,2,0,2,66,27,0,5,6,55,12,5,33
1,0,0,0,1,2,0,42,5,0,3,3,5,7341,8866,5,FALSE,0,3,4,83,100,0,0,0,100,0,0,60
1,0,0,0,4,1,0,153,13,0,0,3,12,47040,58953,22,FALSE,0,4,9,80,17,3,0,4,50,0,3,25
1,4,4,0,5,1,10,221,8,0,1,4,7,31445,40749,10,FALSE,0,2,4,77,42,3,0,2,58,1,0,57
1,0,0,0,5,0,5,197,5,0,2,4,6,882,5289,13,TRUE,3,2,2,17,44,2,4,6,38,4,5,67
1,1,0,0,3,0,4,153,4,0,1,4,6,51251,62609,10,TRUE,1,5,6,82,46,1,2,4,46,3,2,67
1,2,0,0,1,1,9,115,10,0,1,3,3,8702,11145,5,TRUE,1,2,2,78,13,1,1,4,38,1,1,100
1,4,4,0,3,2,13,150,5,0,2,4,5,2001,2543,26,TRUE,1,4,4,79,10,3,1,4,17,4,3,80
1,3,2,1,4,1,7,128,17,0,0,1,3,8286,11150,3,TRUE,1,1,2,74,11,0,1,4,33,3,1,33
1,2,2,0,3,3,10,101,6,0,5,14,5,44615,47226,20,TRUE,1,5,5,94,34,2,1,2,17,2,2,280
1,0,0,0,4,0,3,127,7,0,4,11,26,63184,86143,33,FALSE,0,7,11,73,36,3,0,1,55,0,1,42
1,3,0,1,5,0,6,146,5,0,1,3,5,7244,12822,6,TRUE,1,1,4,57,31,1,1,6,38,1,1,60
1,3,2,0,4,1,12,115,10,0,1,2,3,881,1156,4,TRUE,0,1,2,76,33,2,0,2,50,1,1,67
1,3,3,0,8,1,6,158,6,0,3,10,19,30976,57824,31,TRUE,1,5,10,54,66,0,3,4,59,4,3,53
1,1,1,0,8,0,3,39,2,1,5,8,10,15321,20966,9,TRUE,0,2,3,73,75,2,0,1,83,1,1,80
1,2,1,0,0,8,3,39,12,0,1,1,1,18526,20911,1,TRUE,1,1,1,89,0,0,1,1,50,3,1,100
1,0,0,0,0,12,0,552,4,0,2,5,5,26437,30927,18,TRUE,0,5,5,85,40,2,0,1,25,0,1,100
1,3,3,0,8,0,8,153,9,0,1,2,4,23936,26959,12,TRUE,0,3,3,89,53,1,0,1,27,3,0,50
1,3,3,0,3,2,7,109,4,0,2,3,5,29315,35760,9,TRUE,1,2,3,82,27,3,1,1,45,3,1,60
1,1,1,0,0,10,4,21,2,1,4,6,4,14435,15787,5,FALSE,0,3,3,91,83,0,0,0,67,0,0,150
1,0,0,0,1,1,4,215,7,0,2,4,15,42898,47670,21,FALSE,0,14,14,90,90,0,0,0,71,0,0,27
1,3,1,0,1,3,6,125,11,0,1,1,2,0,208,1,TRUE,1,0,0,0,20,0,1,4,40,4,1,50
1,3,0,1,1,5,0,122,32,0,0,0,2,7862,15922,4,TRUE,1,0,0,49,15,0,1,8,15,1,1,0
1,2,3,0,7,1,0,91,8,0,5,6,4,17794,29352,8,TRUE,0,0,2,61,27,3,0,3,36,1,2,150
1,6,5,1,7,1,10,96,4,0,7,11,8,9511,12501,15,TRUE,1,6,7,76,39,0,1,13,26,4,1,138
1,0,0,0,3,1,3,109,3,1,1,1,7,3719,11528,8,TRUE,2,1,2,32,23,2,4,6,54,4,5,14
1,0,0,0,5,0,7,393,13,0,0,2,11,30920,52290,36,TRUE,1,2,4,59,45,0,1,1,29,1,1,18
1,0,0,0,3,0,3,107,13,0,0,5,14,58795,66406,28,FALSE,0,10,11,89,62,0,0,0,48,0,0,36
1,9,5,1,7,0,2,246,27,0,0,0,6,18250,23750,4,TRUE,4,3,3,77,0,3,5,19,24,8,7,0
1,2,1,1,0,9,0,12,12,0,1,1,1,204,200,1,FALSE,0,1,1,102,100,0,0,0,100,1,0,100
1,0,0,0,2,0,9,113,6,0,4,7,23,41382,67192,36,FALSE,0,12,19,62,67,2,0,1,64,0,1,30
1,0,0,0,9,1,6,282,5,0,4,6,18,35205,46981,33,TRUE,1,6,9,75,44,3,5,8,44,5,5,33
1,0,0,0,7,1,12,150,1,1,4,9,9,43478,53607,18,FALSE,0,5,5,81,50,3,1,4,41,1,1,100
1,0,0,0,0,3.108108,0,190,24,0,0,1,11,11966,16962,22,FALSE,0,5,7,71,57,3,1,5,48,1,5,9
1,0,0,0,9,1,12,270,13,0,0,2,9,28859,39039,13,TRUE,0,2,4,74,38,3,0,4,56,0,2,22
1,0,0,0,0,3.108108,0,245,27,0,0,0,8,21620,25326,7,TRUE,1,5,5,85,33,2,4,5,67,4,5,0
1,0,0,0,1,3,0,24,19,0,0,3,3,5725,5310,1,TRUE,2,3,3,108,33,0,2,2,100,2,2,100
1,0,0,0,2,2,3,72,17,0,0,2,5,31128,40006,4,TRUE,1,3,4,78,17,2,1,2,83,1,2,40
1,1,0,1,1,2,2,101,5,0,1,2,6,18018,29097,6,TRUE,4,3,4,62,21,0,4,11,32,4,4,33
1,3,2,1,5,3,5,107,16,0,0,1,2,167,167,2,TRUE,1,1,1,100,33,0,1,3,33,3,1,50
1,2,2,0,8,1,5,171,42,0,0,0,8,5960,11379,15,TRUE,2,1,3,52,15,3,2,8,40,4,5,0
1,0,0,0,4,1,7,176,4,0,7,17,26,62359,117515,40,FALSE,0,9,9,53,65,2,0,1,57,0,1,65
1,5,4,1,8,1,2,146,4,0,1,2,4,10416,14089,9,TRUE,2,2,3,74,38,0,2,7,25,3,2,50
1,2,2,0,5,1,1,44,10,0,1,2,2,3584,3000,2,TRUE,1,1,1,119,33,0,1,1,67,1,1,100
1,0,0,0,6,1,6,285,3,1,1,3,5,10913,20643,10,TRUE,1,2,2,53,20,0,1,6,33,1,1,60
1,0,0,0,3,1,4,106,24,0,0,1,4,17270,37094,10,TRUE,3,0,1,47,29,2,3,4,29,3,4,25
1,0,0,0,6,1,6,329,1,1,6,10,15,32974,33371,20,TRUE,0,10,11,99,55,2,1,3,48,1,2,67
1,2,1,0,2,2,5,252,11,0,1,1,10,18937,40676,7,TRUE,3,2,5,47,5,3,7,14,53,9,9,10
1,0,0,0,0,3.108108,0,134,11,0,1,5,8,27710,36667,15,TRUE,1,4,7,76,12,3,4,11,31,4,8,63
1,1,1,0,5,1,10,86,3,1,1,2,4,23963,32942,3,TRUE,0,2,2,73,17,3,0,2,67,1,2,50
1,0,0,0,8,1,7,163,5,0,2,2,8,13563,16040,15,FALSE,0,3,5,85,47,2,0,4,53,0,1,25
1,0,0,0,1,5,1,107,7,0,1,1,8,27981,29835,12,FALSE,0,5,6,94,36,3,0,0,57,0,0,13
1,7,4,1,6,2,9,140,3,1,2,6,8,14829,21060,15,FALSE,0,6,7,70,41,1,0,1,47,2,0,75
1,1,1,0,4,4,2,161,6,0,2,4,18,63800,84422,29,FALSE,0,8,13,76,44,3,0,3,53,0,2,22
1,0,0,0,7,0,7,158,17,0,0,3,7,27288,35693,23,TRUE,0,3,5,76,13,3,2,5,23,2,4,43
1,0,0,0,0,3.108108,0,273,5,0,1,2,16,78533,87254,17,TRUE,0,9,11,90,36,3,2,3,64,2,2,13
1,3,2,1,3,5,5,145,1,1,3,5,6,1437,11019,12,TRUE,2,3,3,13,24,0,3,14,24,5,3,83
1,0,0,0,3,0,0,320,6,0,1,6,6,11040,10035,8,TRUE,15,3,3,110,3,2,19,24,18,19,20,100
1,0,0,0,2,1,2,189,9,0,1,4,14,61279,73460,28,FALSE,0,10,10,83,53,2,0,1,47,0,1,29
1,2,2,0,9,0,7,49,5,0,6,10,11,11611,18579,15,FALSE,0,4,7,63,88,0,0,0,69,1,0,91
1,3,2,0,8,1,4,290,5,0,1,1,3,10321,11889,7,TRUE,1,1,1,87,22,1,1,6,33,2,1,33
1,0,0,0,3,1,0,170,5,0,1,4,5,2781,21571,14,FALSE,0,2,2,13,44,2,1,2,31,1,2,80
1,0,0,0,6,1,7,76,11,0,1,5,5,8611,9326,14,TRUE,0,3,4,92,58,0,0,2,26,0,0,100
1,1,0,0,2,5,2,148,7,0,1,4,6,42142,52945,6,TRUE,1,4,5,80,56,0,1,3,67,1,1,67
1,2,1,1,3,2,12,109,8,0,4,6,3,3372,3441,5,TRUE,3,2,2,98,18,3,3,10,18,4,5,200
1,0,0,0,2,2,7,139,14,0,0,2,12,8336,29630,19,FALSE,0,4,5,28,52,3,0,2,52,0,1,17
1,0,0,0,3,1,2,99,20,0,0,3,8,14221,22324,14,TRUE,0,3,4,64,67,0,0,2,53,0,0,38
1,4,1,0,0,11,2,219,10,0,1,1,3,3416,13973,1,TRUE,0,0,0,24,0,2,1,3,50,2,2,33
1,5,5,0,8,1,10,294,3,1,4,9,9,54643,62295,28,FALSE,0,4,6,88,45,2,0,4,27,3,1,100
1,0,0,0,2,5,3,221,22,0,0,1,14,38617,53723,22,FALSE,0,6,12,72,64,1,0,0,56,0,0,7
1,2,1,1,4,2,4,212,7,0,1,3,5,18385,18513,3,TRUE,2,4,4,99,13,2,2,6,63,3,3,60
1,0,0,0,4,1,7,145,4,0,2,4,8,44544,48569,11,FALSE,0,4,6,92,100,0,0,0,73,0,0,50
1,20,1,1,2,1,7,60,58,0,0,0,0,0,0,13.51168,TRUE,1,0,0,0,51.85648,8,1,3,0,6,1,0
1,2,2,0,9,0,4,353,9,0,1,3,10,18008,30920,18,FALSE,0,5,6,58,45,2,0,2,50,2,1,30
1,0,0,0,2,1,3,120,10,0,1,2,8,41370,50001,12,FALSE,0,4,5,83,75,0,0,0,67,0,0,25
1,1,0,1,5,1,5,47,8,0,3,5,5,36320,46341,7,TRUE,2,3,4,78,70,0,2,2,50,2,2,100
1,5,5,0,0,12,3,11,11,0,1,1,1,20151.1,31205.9,1,FALSE,0,3.121682,4.077904,64.82224,100,0,0,0,100,1,0,100
1,1,0,1,10,0,6,134,17,0,0,2,6,26590,34114,8,TRUE,2,3,4,78,35,0,2,9,35,2,2,33
1,1,1,0,9,0,14,119,4,0,2,3,4,29971,48318,14,TRUE,0,1,3,62,42,0,1,3,21,2,1,75
1,0,0,0,6,0,8,174,3,1,4,9,18,85318,98293,24,TRUE,0,13,15,87,61,3,0,1,64,0,1,50
1,2,2,0,7,1,12,135,5,0,5,8,2,23215,24187,11,TRUE,2,2,2,96,54,0,2,2,15,3,2,400
1,1,0,1,8,0,12,143,4,0,1,1,2,5675,6276,3,TRUE,1,1,1,90,33,0,1,7,22,1,1,50
1,1,0,0,4,0,3,166,40,0,0,0,4,10814,10942,10,TRUE,1,2,2,99,38,3,1,3,31,2,2,0
1,0,0,0,5,1,22,187,3,1,4,6,10,43715,47006,19,TRUE,1,6,7,93,31,3,3,6,38,3,4,60
1,0,0,0,1,4,3,299,6,0,3,5,16,31271,39791,33,FALSE,0,6,10,79,51,3,0,1,46,0,0,31
1,0,0,0,3,1,6,227,6,0,6,12,14,33465,43631,26,FALSE,0,9,10,77,59,3,0,1,48,0,1,86
1,0,0,0,3,1,2,213,24,0,0,1,6,7743,10849,7,FALSE,0,3,3,71,11,3,0,3,67,0,0,17
1,0,0,0,3,1,0,178,25,0,0,0,7,9372,17788,10,TRUE,0,3,4,53,7,3,2,4,50,2,2,0
1,0,0,0,0,8,1,442,7,0,1,3,18,107958,134172,34,FALSE,0,13,16,80,40,3,1,3,51,1,2,17
1,9,9,0,0,7,2,18,6,0,1,3,2,56845,57957,2,FALSE,0,2,2,98,67,0,0,0,67,7,0,150
1,1,1,0,3,1,2,298,3,1,3,4,6,3715,4603,11,TRUE,0,1,1,81,35,0,1,5,35,1,1,67
1,0,0,0,10,1,3,72,11,0,1,1,5,3456,5206,2,TRUE,4,1,3,66,22,0,4,7,56,4,4,20
1,1,0,0,3,0,2,107,4,0,1,2,4,24682,37267,6,TRUE,1,1,2,66,9,3,1,5,36,1,1,50
1,0,0,0,0,7,9,122,3,2,5,6,10,46295,68797,19,TRUE,2,5,8,67,44,0,2,5,40,2,2,60
1,0,0,0,0,20,1,112,20,0,0,1,5,6793,8806,10,FALSE,0,1,1,77,36,2,0,1,45,0,1,20
1,0,0,0,3,0,3,107,2,1,3,8,13,16363,40286,19,FALSE,0,1,3,41,76,0,0,0,62,0,0,62
1,2,2,0,5,1,8,235,10,0,1,1,12,16663,20925,19,TRUE,1,5,5,80,18,3,2,5,43,3,5,8
1,6,0,0,3,3,6,109,5,0,5,6,6,24920,27904,7,TRUE,2,4,5,89,55,0,3,3,55,8,3,100
1,1,1,0,2,0,3,74,19,0,0,1,9,10181,12193,9,TRUE,0,7,8,84,90,0,0,1,90,1,0,11
1,0,0,0,0,3.108108,0,273,3,1,1,1,5,2393,2393,3,TRUE,5,3,3,100,13,0,5,5,63,5,5,20
1,2,1,1,0,15,1,129,14,0,0,4,7,3364,3628,8,FALSE,0,4,4,93,56,1,0,0,78,1,0,57
1,1,1,0,4,0,3,402,2,1,3,3,3,796,1296,2,TRUE,1,1,1,61,0,3,2,5,43,2,4,100
1,0,0,0,2,1,2,48,5,0,3,6,4,2232,4309,6,TRUE,0,1,1,52,22,3,0,2,44,0,2,150
1,4,2,1,3,1,4,444,17,0,0,1,6,28105,30837,9,TRUE,7,3,3,91,14,0,7,13,29,7,7,17
1,1,1,0,18,0,11,234,2,1,1,3,3,1900,2577,15,TRUE,0,1,3,74,14,3,1,5,14,1,1,100
1,0,0,0,10,1,29,138,2,4,14,25,18,27855,48123,30,TRUE,0,14,15,58,47,2,2,3,40,2,3,139
1,1,0,1,1,1,1,149,7,0,2,2,6,9559,10257,12,TRUE,1,4,4,93,43,0,1,11,29,1,1,33
1,0,0,0,0,7,1,27,17,0,0,2,2,53,4833,1,TRUE,1,0,0,1,0,0,2,2,67,2,2,100
1,0,0,0,0,16,0,143,2,1,4,5,10,18766,27643,15,TRUE,0,3,4,68,50,0,1,1,50,1,1,50
1,0,0,0,6,1,5,226,3,1,6,9,15,84911,94394,37,FALSE,0,9,9,90,41,3,0,2,37,0,1,60
1,0,0,0,0,3.108108,0,128,41,0,0,0,4,7193,9322,14,FALSE,0,2,2,77,36,2,0,1,29,0,1,0
1,5,4,0,13,0,11,241,4,0,3,5,9,5436,8913,18,TRUE,2,4,4,61,29,3,3,5,38,6,3,56
1,2,1,0,1,1,1,125,23,0,0,2,7,80241,93564,14,TRUE,2,4,5,86,29,2,2,5,41,4,3,29
1,0,0,0,4,1,1,99,11,0,2,3,3,4605,7404,6,TRUE,0,1,1,62,27,0,0,4,27,0,0,100
1,3,3,0,7,1,22,368,6,0,3,4,4,21776,25547,12,TRUE,0,2,2,85,42,0,0,8,21,0,0,100
1,2,2,0,7,0,11,212,2,1,4,6,5,8056,9060,9,FALSE,0,3,4,89,73,2,0,3,45,1,1,120
1,1,0,1,2,3,7,290,10,0,2,5,9,28423,34237,18,TRUE,11,2,3,83,29,0,12,12,26,13,12,56
1,0,0,0,1,6,1,142,2,1,2,2,2,289,289,0,TRUE,0,1,1,100,0,0,1,2,67,1,1,100
